,Order Date,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,period,dollar,euro,yuan,Person
0,2016-11-08,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016Q4,1.0,0.9273171427037991,6.831932034239802,Cassandra Brandow
1,2016-11-08,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.9399999999999,3,0.0,219.58199999999997,2016Q4,1.0,0.9273171427037991,6.831932034239802,Cassandra Brandow
2,2016-06-12,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8713999999999995,2016Q2,1.0,0.885644638309327,6.534701323497689,Anna Andreadi
3,2015-10-11,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.03100000000006,2015Q4,1.0,0.9134754052931862,6.39178984110409,Cassandra Brandow
4,2015-10-11,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368000000000002,2,0.2,2.516399999999999,2015Q4,1.0,0.9134754052931862,6.39178984110409,Cassandra Brandow
5,2014-06-09,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.169399999999996,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
6,2014-06-09,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656000000000002,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
7,2014-06-09,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.71520000000004,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
8,2014-06-09,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
9,2014-06-09,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.46999999999999,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
10,2014-06-09,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.1840000000002,9,0.2,85.3091999999998,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
11,2014-06-09,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.35680000000002,2014Q2,1.0,0.7294087385180363,6.231477393648786,Anna Andreadi
12,2017-04-15,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552000000000003,3,0.2,5.4432,2017Q2,1.0,0.9077416111260633,6.859820621946943,Cassandra Brandow
13,2016-12-05,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.97600000000006,3,0.2,132.59219999999993,2016Q4,1.0,0.9273171427037991,6.831932034239802,Anna Andreadi
14,2015-11-22,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.80999999999999,5,0.8,-123.858,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
15,2015-11-22,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.5439999999999996,3,0.8,-3.8160000000000016,2015Q4,1.0,0.9134754052931862,6.39178984110409,Kelly Williams
16,2014-11-11,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.317599999999999,2014Q4,1.0,0.8002615830550578,6.147208617199812,Kelly Williams
